"Date","Currency","EXCHANGE RATE"
"14/07/2026","US DOLLAR","129.2300"
"14/07/2026","SW KRONER","13.3800"
"14/07/2026","NOR KRONER","13.2200"
"14/07/2026","DAN KRONER","19.7400"
"14/07/2026","IND RUPEE","1.3500"
"14/07/2026","HONGKONG DOLLAR","16.4900"
"14/07/2026","SINGAPORE DOLLAR","99.9900"
"14/07/2026","SAUDI RIYAL","34.4100"
"14/07/2026","CHINESE YUAN","19.0700"
"14/07/2026","JPY (100)","79.6700"
"14/07/2026","S FRANC","159.3800"
"14/07/2026","CAN $","91.3800"
"14/07/2026","STG POUND","173.0000"
"14/07/2026","EURO","147.5600"
"14/07/2026","SA RAND","7.8900"
"14/07/2026","KES / USHS","28.5500"
"14/07/2026","KES / TSHS","20.3800"
"14/07/2026","KES / RWF","11.3400"
"14/07/2026","KES / BIF","23.0900"
"14/07/2026","AE DIRHAM","35.1800"
"14/07/2026","AUSTRALIAN $","89.6500"
